REF_DATE,GEO,Products and product groups,UOM,COORDINATE,VALUE
1982-06-01,Canada,Services,2002=100,2.282,50.5
1982-07-01,Canada,All-items,2002=100,2.2,55.4
1982-07-01,Canada,Food,2002=100,2.3,59.9
1982-07-01,Canada,Mortgage interest cost,2002=100,2.85,79.1
1982-07-01,Canada,Transportation,2002=100,2.176,51.9
1982-07-01,Canada,All-items excluding food,2002=100,2.284,54.3
1982-07-01,Canada,All-items excluding food and energy,2002=100,2.285,54.3
1982-07-01,Canada,Energy,2002=100,2.288,55.9
1982-07-01,Canada,Goods,2002=100,2.274,59.4
1982-07-01,Canada,Services,2002=100,2.282,51
1982-08-01,Canada,All-items,2002=100,2.2,55.6
1982-08-01,Canada,Food,2002=100,2.3,59.4
1982-08-01,Canada,Mortgage interest cost,2002=100,2.85,80.3
1982-08-01,Canada,Transportation,2002=100,2.176,52.3
1982-08-01,Canada,All-items excluding food,2002=100,2.284,54.7
1982-08-01,Canada,All-items excluding food and energy,2002=100,2.285,54.7
1982-08-01,Canada,Energy,2002=100,2.288,56.4
1982-08-01,Canada,Goods,2002=100,2.274,59.6
1982-08-01,Canada,Services,2002=100,2.282,51.5
1982-09-01,Canada,All-items,2002=100,2.2,55.9
1982-09-01,Canada,Food,2002=100,2.3,58.9
1982-09-01,Canada,Mortgage interest cost,2002=100,2.85,81.5
1982-09-01,Canada,Transportation,2002=100,2.176,52.7
1982-09-01,Canada,All-items excluding food,2002=100,2.284,55.3
1982-09-01,Canada,All-items excluding food and energy,2002=100,2.285,55
1982-09-01,Canada,Energy,2002=100,2.288,58.9
1982-09-01,Canada,Goods,2002=100,2.274,60
1982-09-01,Canada,Services,2002=100,2.282,51.6
1982-10-01,Canada,All-items,2002=100,2.2,56.3
1982-10-01,Canada,Food,2002=100,2.3,58.8
1982-10-01,Canada,Mortgage interest cost,2002=100,2.85,82.4
1982-10-01,Canada,Transportation,2002=100,2.176,52.6
1982-10-01,Canada,All-items excluding food,2002=100,2.284,55.7
1982-10-01,Canada,All-items excluding food and energy,2002=100,2.285,55.6
1982-10-01,Canada,Energy,2002=100,2.288,58.2
1982-10-01,Canada,Goods,2002=100,2.274,60
1982-10-01,Canada,Services,2002=100,2.282,52.3
1982-11-01,Canada,All-items,2002=100,2.2,56.6
1982-11-01,Canada,Food,2002=100,2.3,58.9
1982-11-01,Canada,Mortgage interest cost,2002=100,2.85,83
1982-11-01,Canada,Transportation,2002=100,2.176,53.4
1982-11-01,Canada,All-items excluding food,2002=100,2.284,56.1
1982-11-01,Canada,All-items excluding food and energy,2002=100,2.285,56.1
1982-11-01,Canada,Energy,2002=100,2.288,58.6
1982-11-01,Canada,Goods,2002=100,2.274,60.6
1982-11-01,Canada,Services,2002=100,2.282,52.7
1982-12-01,Canada,All-items,2002=100,2.2,56.6
1982-12-01,Canada,Food,2002=100,2.3,58.8
1982-12-01,Canada,Mortgage interest cost,2002=100,2.85,83.5
1982-12-01,Canada,Transportation,2002=100,2.176,53.4
1982-12-01,Canada,All-items excluding food,2002=100,2.284,56.2
1982-12-01,Canada,All-items excluding food and energy,2002=100,2.285,56.2
1982-12-01,Canada,Energy,2002=100,2.288,58.6
1982-12-01,Canada,Goods,2002=100,2.274,60.5
1982-12-01,Canada,Services,2002=100,2.282,52.8
1983-01-01,Canada,All-items,2002=100,2.2,56.5
1983-01-01,Canada,Food,2002=100,2.3,58.9
1983-01-01,Canada,Mortgage interest cost,2002=100,2.85,83.8
1983-01-01,Canada,Transportation,2002=100,2.176,53
1983-01-01,Canada,All-items excluding food,2002=100,2.284,56
1983-01-01,Canada,All-items excluding food and energy,2002=100,2.285,56
1983-01-01,Canada,Energy,2002=100,2.288,57.7
1983-01-01,Canada,Goods,2002=100,2.274,60.2
1983-01-01,Canada,Services,2002=100,2.282,52.8
1983-02-01,Canada,All-items,2002=100,2.2,56.8
1983-02-01,Canada,Food,2002=100,2.3,59.3
1983-02-01,Canada,Mortgage interest cost,2002=100,2.85,84.1
1983-02-01,Canada,Transportation,2002=100,2.176,52.4
1983-02-01,Canada,All-items excluding food,2002=100,2.284,56.2
1983-02-01,Canada,All-items excluding food and energy,2002=100,2.285,56.4
1983-02-01,Canada,Energy,2002=100,2.288,56.6
1983-02-01,Canada,Goods,2002=100,2.274,60.5
1983-02-01,Canada,Services,2002=100,2.282,53
1983-03-01,Canada,All-items,2002=100,2.2,57.4
1983-03-01,Canada,Food,2002=100,2.3,59.1
1983-03-01,Canada,Mortgage interest cost,2002=100,2.85,84.4
1983-03-01,Canada,Transportation,2002=100,2.176,54.1
1983-03-01,Canada,All-items excluding food,2002=100,2.284,57
1983-03-01,Canada,All-items excluding food and energy,2002=100,2.285,56.7
1983-03-01,Canada,Energy,2002=100,2.288,61.3
1983-03-01,Canada,Goods,2002=100,2.274,61.3
1983-03-01,Canada,Services,2002=100,2.282,53.2
1983-04-01,Canada,All-items,2002=100,2.2,57.4
1983-04-01,Canada,Food,2002=100,2.3,59.8
1983-04-01,Canada,Mortgage interest cost,2002=100,2.85,84.5
1983-04-01,Canada,Transportation,2002=100,2.176,52.8
1983-04-01,Canada,All-items excluding food,2002=100,2.284,56.8
1983-04-01,Canada,All-items excluding food and energy,2002=100,2.285,56.9
1983-04-01,Canada,Energy,2002=100,2.288,58.5
1983-04-01,Canada,Goods,2002=100,2.274,61.3
1983-04-01,Canada,Services,2002=100,2.282,53.3
1983-05-01,Canada,All-items,2002=100,2.2,57.5
1983-05-01,Canada,Food,2002=100,2.3,60.7
1983-05-01,Canada,Mortgage interest cost,2002=100,2.85,84.6
1983-05-01,Canada,Transportation,2002=100,2.176,52.1
1983-05-01,Canada,All-items excluding food,2002=100,2.284,56.8
1983-05-01,Canada,All-items excluding food and energy,2002=100,2.285,57
1983-05-01,Canada,Energy,2002=100,2.288,56.5
1983-05-01,Canada,Goods,2002=100,2.274,61.3
1983-05-01,Canada,Services,2002=100,2.282,53.5
1983-06-01,Canada,All-items,2002=100,2.2,58.1
1983-06-01,Canada,Food,2002=100,2.3,60.8
1983-06-01,Canada,Mortgage interest cost,2002=100,2.85,84.8
1983-06-01,Canada,Transportation,2002=100,2.176,54.9
1983-06-01,Canada,All-items excluding food,2002=100,2.284,57.6
1983-06-01,Canada,All-items excluding food and energy,2002=100,2.285,57.3
1983-06-01,Canada,Energy,2002=100,2.288,61.6
1983-06-01,Canada,Goods,2002=100,2.274,62.4
1983-06-01,Canada,Services,2002=100,2.282,53.8
1983-07-01,Canada,All-items,2002=100,2.2,58.4
1983-07-01,Canada,Food,2002=100,2.3,61.2
1983-07-01,Canada,Mortgage interest cost,2002=100,2.85,84.9
1983-07-01,Canada,Transportation,2002=100,2.176,55.2
1983-07-01,Canada,All-items excluding food,2002=100,2.284,57.8
1983-07-01,Canada,All-items excluding food and energy,2002=100,2.285,57.5
1983-07-01,Canada,Energy,2002=100,2.288,62.2
1983-07-01,Canada,Goods,2002=100,2.274,62.6
1983-07-01,Canada,Services,2002=100,2.282,54.1
1983-08-01,Canada,All-items,2002=100,2.2,58.7
1983-08-01,Canada,Food,2002=100,2.3,61.1
1983-08-01,Canada,Mortgage interest cost,2002=100,2.85,84.9
1983-08-01,Canada,Transportation,2002=100,2.176,55.4
1983-08-01,Canada,All-items excluding food,2002=100,2.284,58.1
1983-08-01,Canada,All-items excluding food and energy,2002=100,2.285,57.8
1983-08-01,Canada,Energy,2002=100,2.288,62.6
1983-08-01,Canada,Goods,2002=100,2.274,62.8
1983-08-01,Canada,Services,2002=100,2.282,54.4
1983-09-01,Canada,All-items,2002=100,2.2,58.7
1983-09-01,Canada,Food,2002=100,2.3,60.5
1983-09-01,Canada,Mortgage interest cost,2002=100,2.85,85.1
1983-09-01,Canada,Transportation,2002=100,2.176,55
1983-09-01,Canada,All-items excluding food,2002=100,2.284,58.3
1983-09-01,Canada,All-items excluding food and energy,2002=100,2.285,58
1983-09-01,Canada,Energy,2002=100,2.288,62.4
1983-09-01,Canada,Goods,2002=100,2.274,62.7
1983-09-01,Canada,Services,2002=100,2.282,54.5
1983-10-01,Canada,All-items,2002=100,2.2,59.1
1983-10-01,Canada,Food,2002=100,2.3,61.2
1983-10-01,Canada,Mortgage interest cost,2002=100,2.85,85.3
1983-10-01,Canada,Transportation,2002=100,2.176,54.7
1983-10-01,Canada,All-items excluding food,2002=100,2.284,58.6
1983-10-01,Canada,All-items excluding food and energy,2002=100,2.285,58.4
1983-10-01,Canada,Energy,2002=100,2.288,61.8
1983-10-01,Canada,Goods,2002=100,2.274,63.1
1983-10-01,Canada,Services,2002=100,2.282,54.8
1983-11-01,Canada,All-items,2002=100,2.2,59.1
1983-11-01,Canada,Food,2002=100,2.3,60.8
1983-11-01,Canada,Mortgage interest cost,2002=100,2.85,85.3
1983-11-01,Canada,Transportation,2002=100,2.176,54.9
1983-11-01,Canada,All-items excluding food,2002=100,2.284,58.7
1983-11-01,Canada,All-items excluding food and energy,2002=100,2.285,58.6
1983-11-01,Canada,Energy,2002=100,2.288,61.3
1983-11-01,Canada,Goods,2002=100,2.274,63.1
1983-11-01,Canada,Services,2002=100,2.282,54.9
1983-12-01,Canada,All-items,2002=100,2.2,59.2
1983-12-01,Canada,Food,2002=100,2.3,61
1983-12-01,Canada,Mortgage interest cost,2002=100,2.85,85.3
1983-12-01,Canada,Transportation,2002=100,2.176,55.5
1983-12-01,Canada,All-items excluding food,2002=100,2.284,58.9
1983-12-01,Canada,All-items excluding food and energy,2002=100,2.285,58.6
1983-12-01,Canada,Energy,2002=100,2.288,62.2
1983-12-01,Canada,Goods,2002=100,2.274,63.3
1983-12-01,Canada,Services,2002=100,2.282,55
1984-01-01,Canada,All-items,2002=100,2.2,59.6
1984-01-01,Canada,Food,2002=100,2.3,62.2
1984-01-01,Canada,Mortgage interest cost,2002=100,2.85,85.3
1984-01-01,Canada,Transportation,2002=100,2.176,56.2
1984-01-01,Canada,All-items excluding food,2002=100,2.284,58.9
1984-01-01,Canada,All-items excluding food and energy,2002=100,2.285,58.6
1984-01-01,Canada,Energy,2002=100,2.288,63.7
1984-01-01,Canada,Goods,2002=100,2.274,63.8
1984-01-01,Canada,Services,2002=100,2.282,55
1984-02-01,Canada,All-items,2002=100,2.2,59.9
1984-02-01,Canada,Food,2002=100,2.3,62.9
1984-02-01,Canada,Mortgage interest cost,2002=100,2.85,85.2
1984-02-01,Canada,Transportation,2002=100,2.176,56.2
1984-02-01,Canada,All-items excluding food,2002=100,2.284,59.2
1984-02-01,Canada,All-items excluding food and energy,2002=100,2.285,58.8
1984-02-01,Canada,Energy,2002=100,2.288,64
1984-02-01,Canada,Goods,2002=100,2.274,64.4
1984-02-01,Canada,Services,2002=100,2.282,55.2
1984-03-01,Canada,All-items,2002=100,2.2,60
1984-03-01,Canada,Food,2002=100,2.3,63.3
1984-03-01,Canada,Mortgage interest cost,2002=100,2.85,85.2
1984-03-01,Canada,Transportation,2002=100,2.176,55.6
1984-03-01,Canada,All-items excluding food,2002=100,2.284,59.2
1984-03-01,Canada,All-items excluding food and energy,2002=100,2.285,59.1
1984-03-01,Canada,Energy,2002=100,2.288,62.6
1984-03-01,Canada,Goods,2002=100,2.274,64.5
1984-03-01,Canada,Services,2002=100,2.282,55.3
1984-04-01,Canada,All-items,2002=100,2.2,60.2
1984-04-01,Canada,Food,2002=100,2.3,63.6
1984-04-01,Canada,Mortgage interest cost,2002=100,2.85,85.2
1984-04-01,Canada,Transportation,2002=100,2.176,55.6
1984-04-01,Canada,All-items excluding food,2002=100,2.284,59.4
1984-04-01,Canada,All-items excluding food and energy,2002=100,2.285,59.2
1984-04-01,Canada,Energy,2002=100,2.288,62.8
1984-04-01,Canada,Goods,2002=100,2.274,64.6
1984-04-01,Canada,Services,2002=100,2.282,55.4
1984-05-01,Canada,All-items,2002=100,2.2,60.2
1984-05-01,Canada,Food,2002=100,2.3,63.3
1984-05-01,Canada,Mortgage interest cost,2002=100,2.85,85.3
1984-05-01,Canada,Transportation,2002=100,2.176,55.8
1984-05-01,Canada,All-items excluding food,2002=100,2.284,59.6
1984-05-01,Canada,All-items excluding food and energy,2002=100,2.285,59.4
1984-05-01,Canada,Energy,2002=100,2.288,62.4
1984-05-01,Canada,Goods,2002=100,2.274,64.6
1984-05-01,Canada,Services,2002=100,2.282,55.7
1984-06-01,Canada,All-items,2002=100,2.2,60.6
1984-06-01,Canada,Food,2002=100,2.3,64.2
1984-06-01,Canada,Mortgage interest cost,2002=100,2.85,85.6
1984-06-01,Canada,Transportation,2002=100,2.176,56.5
1984-06-01,Canada,All-items excluding food,2002=100,2.284,59.7
1984-06-01,Canada,All-items excluding food and energy,2002=100,2.285,59.5
1984-06-01,Canada,Energy,2002=100,2.288,63
1984-06-01,Canada,Goods,2002=100,2.274,64.9
1984-06-01,Canada,Services,2002=100,2.282,55.9
1984-07-01,Canada,All-items,2002=100,2.2,60.8
1984-07-01,Canada,Food,2002=100,2.3,64.8
1984-07-01,Canada,Mortgage interest cost,2002=100,2.85,85.8
1984-07-01,Canada,Transportation,2002=100,2.176,57
1984-07-01,Canada,All-items excluding food,2002=100,2.284,60
1984-07-01,Canada,All-items excluding food and energy,2002=100,2.285,59.8
1984-07-01,Canada,Energy,2002=100,2.288,64.1
1984-07-01,Canada,Goods,2002=100,2.274,65.3
1984-07-01,Canada,Services,2002=100,2.282,56.2
1984-08-01,Canada,All-items,2002=100,2.2,60.8
1984-08-01,Canada,Food,2002=100,2.3,64.3
1984-08-01,Canada,Mortgage interest cost,2002=100,2.85,86.1
1984-08-01,Canada,Transportation,2002=100,2.176,56.8
1984-08-01,Canada,All-items excluding food,2002=100,2.284,60.1
1984-08-01,Canada,All-items excluding food and energy,2002=100,2.285,59.9
1984-08-01,Canada,Energy,2002=100,2.288,63.3
1984-08-01,Canada,Goods,2002=100,2.274,65.1
1984-08-01,Canada,Services,2002=100,2.282,56.4
1984-09-01,Canada,All-items,2002=100,2.2,60.9
1984-09-01,Canada,Food,2002=100,2.3,63.8
1984-09-01,Canada,Mortgage interest cost,2002=100,2.85,86.4
1984-09-01,Canada,Transportation,2002=100,2.176,56.8
1984-09-01,Canada,All-items excluding food,2002=100,2.284,60.3
1984-09-01,Canada,All-items excluding food and energy,2002=100,2.285,60.1
1984-09-01,Canada,Energy,2002=100,2.288,63.6
1984-09-01,Canada,Goods,2002=100,2.274,65.1
1984-09-01,Canada,Services,2002=100,2.282,56.7
1984-10-01,Canada,All-items,2002=100,2.2,61.1
1984-10-01,Canada,Food,2002=100,2.3,63.8
1984-10-01,Canada,Mortgage interest cost,2002=100,2.85,86.6
1984-10-01,Canada,Transportation,2002=100,2.176,56.2
1984-10-01,Canada,All-items excluding food,2002=100,2.284,60.4
1984-10-01,Canada,All-items excluding food and energy,2002=100,2.285,60.3
1984-10-01,Canada,Energy,2002=100,2.288,63.6
1984-10-01,Canada,Goods,2002=100,2.274,65.3
1984-10-01,Canada,Services,2002=100,2.282,56.7
1984-11-01,Canada,All-items,2002=100,2.2,61.4
1984-11-01,Canada,Food,2002=100,2.3,63.8
1984-11-01,Canada,Mortgage interest cost,2002=100,2.85,86.6
1984-11-01,Canada,Transportation,2002=100,2.176,57.3
1984-11-01,Canada,All-items excluding food,2002=100,2.284,60.8
1984-11-01,Canada,All-items excluding food and energy,2002=100,2.285,60.5
1984-11-01,Canada,Energy,2002=100,2.288,65.4
1984-11-01,Canada,Goods,2002=100,2.274,65.8
1984-11-01,Canada,Services,2002=100,2.282,56.7
1984-12-01,Canada,All-items,2002=100,2.2,61.4
1984-12-01,Canada,Food,2002=100,2.3,63.8
1984-12-01,Canada,Mortgage interest cost,2002=100,2.85,86.7
1984-12-01,Canada,Transportation,2002=100,2.176,57.6
1984-12-01,Canada,All-items excluding food,2002=100,2.284,60.9
1984-12-01,Canada,All-items excluding food and energy,2002=100,2.285,60.5
1984-12-01,Canada,Energy,2002=100,2.288,66.1
1984-12-01,Canada,Goods,2002=100,2.274,65.8
1984-12-01,Canada,Services,2002=100,2.282,56.8
1985-01-01,Canada,All-items,2002=100,2.2,61.7
1985-01-01,Canada,Food,2002=100,2.3,64.6
1985-01-01,Canada,Mortgage interest cost,2002=100,2.85,86.9
1985-01-01,Canada,Transportation,2002=100,2.176,58.1
1985-01-01,Canada,All-items excluding food,2002=100,2.284,61.1
1985-01-01,Canada,All-items excluding food and energy,2002=100,2.285,60.5
1985-01-01,Canada,Energy,2002=100,2.288,67.2
1985-01-01,Canada,Goods,2002=100,2.274,66.4
1985-01-01,Canada,Services,2002=100,2.282,56.9
1985-02-01,Canada,All-items,2002=100,2.2,62.1
1985-02-01,Canada,Food,2002=100,2.3,65.3
1985-02-01,Canada,Mortgage interest cost,2002=100,2.85,87
1985-02-01,Canada,Transportation,2002=100,2.176,58.2
1985-02-01,Canada,All-items excluding food,2002=100,2.284,61.3
1985-02-01,Canada,All-items excluding food and energy,2002=100,2.285,60.9
1985-02-01,Canada,Energy,2002=100,2.288,67
1985-02-01,Canada,Goods,2002=100,2.274,66.7
1985-02-01,Canada,Services,2002=100,2.282,57.1
1985-03-01,Canada,All-items,2002=100,2.2,62.2
1985-03-01,Canada,Food,2002=100,2.3,65.2
1985-03-01,Canada,Mortgage interest cost,2002=100,2.85,87.3
1985-03-01,Canada,Transportation,2002=100,2.176,58.5
1985-03-01,Canada,All-items excluding food,2002=100,2.284,61.6
1985-03-01,Canada,All-items excluding food and energy,2002=100,2.285,61.1
1985-03-01,Canada,Energy,2002=100,2.288,67
1985-03-01,Canada,Goods,2002=100,2.274,66.8
1985-03-01,Canada,Services,2002=100,2.282,57.4
1985-04-01,Canada,All-items,2002=100,2.2,62.5
1985-04-01,Canada,Food,2002=100,2.3,66
1985-04-01,Canada,Mortgage interest cost,2002=100,2.85,87.5
1985-04-01,Canada,Transportation,2002=100,2.176,58.5
1985-04-01,Canada,All-items excluding food,2002=100,2.284,61.7
1985-04-01,Canada,All-items excluding food and energy,2002=100,2.285,61.3
1985-04-01,Canada,Energy,2002=100,2.288,67
1985-04-01,Canada,Goods,2002=100,2.274,67
1985-04-01,Canada,Services,2002=100,2.282,57.6
1985-05-01,Canada,All-items,2002=100,2.2,62.7
1985-05-01,Canada,Food,2002=100,2.3,65.5
1985-05-01,Canada,Mortgage interest cost,2002=100,2.85,87.6
1985-05-01,Canada,Transportation,2002=100,2.176,58.6
1985-05-01,Canada,All-items excluding food,2002=100,2.284,62
1985-05-01,Canada,All-items excluding food and energy,2002=100,2.285,61.6
1985-05-01,Canada,Energy,2002=100,2.288,67
1985-05-01,Canada,Goods,2002=100,2.274,67.1
1985-05-01,Canada,Services,2002=100,2.282,57.9
1985-06-01,Canada,All-items,2002=100,2.2,63
1985-06-01,Canada,Food,2002=100,2.3,65.8
1985-06-01,Canada,Mortgage interest cost,2002=100,2.85,87.5
1985-06-01,Canada,Transportation,2002=100,2.176,58.8
1985-06-01,Canada,All-items excluding food,2002=100,2.284,62.4
1985-06-01,Canada,All-items excluding food and energy,2002=100,2.285,62
1985-06-01,Canada,Energy,2002=100,2.288,66.8
1985-06-01,Canada,Goods,2002=100,2.274,67.7
1985-06-01,Canada,Services,2002=100,2.282,58
1985-07-01,Canada,All-items,2002=100,2.2,63.3
1985-07-01,Canada,Food,2002=100,2.3,66.2
1985-07-01,Canada,Mortgage interest cost,2002=100,2.85,87.3
1985-07-01,Canada,Transportation,2002=100,2.176,58.8
1985-07-01,Canada,All-items excluding food,2002=100,2.284,62.4
1985-07-01,Canada,All-items excluding food and energy,2002=100,2.285,62.2
1985-07-01,Canada,Energy,2002=100,2.288,66
1985-07-01,Canada,Goods,2002=100,2.274,67.7
1985-07-01,Canada,Services,2002=100,2.282,58.5
1985-08-01,Canada,All-items,2002=100,2.2,63.3
1985-08-01,Canada,Food,2002=100,2.3,65.8
1985-08-01,Canada,Mortgage interest cost,2002=100,2.85,87.2
1985-08-01,Canada,Transportation,2002=100,2.176,59.1
1985-08-01,Canada,All-items excluding food,2002=100,2.284,62.7
1985-08-01,Canada,All-items excluding food and energy,2002=100,2.285,62.5
1985-08-01,Canada,Energy,2002=100,2.288,66.2
1985-08-01,Canada,Goods,2002=100,2.274,67.7
1985-08-01,Canada,Services,2002=100,2.282,58.6
1985-09-01,Canada,All-items,2002=100,2.2,63.4
1985-09-01,Canada,Food,2002=100,2.3,65.2
1985-09-01,Canada,Mortgage interest cost,2002=100,2.85,87
1985-09-01,Canada,Transportation,2002=100,2.176,59.8
1985-09-01,Canada,All-items excluding food,2002=100,2.284,63
1985-09-01,Canada,All-items excluding food and energy,2002=100,2.285,62.6
1985-09-01,Canada,Energy,2002=100,2.288,67.7
1985-09-01,Canada,Goods,2002=100,2.274,67.7
1985-09-01,Canada,Services,2002=100,2.282,58.8
1985-10-01,Canada,All-items,2002=100,2.2,63.6
1985-10-01,Canada,Food,2002=100,2.3,65
1985-10-01,Canada,Mortgage interest cost,2002=100,2.85,86.9
1985-10-01,Canada,Transportation,2002=100,2.176,59.9
1985-10-01,Canada,All-items excluding food,2002=100,2.284,63.3
1985-10-01,Canada,All-items excluding food and energy,2002=100,2.285,62.8
1985-10-01,Canada,Energy,2002=100,2.288,68.1
1985-10-01,Canada,Goods,2002=100,2.274,67.8
1985-10-01,Canada,Services,2002=100,2.282,59.1
1985-11-01,Canada,All-items,2002=100,2.2,63.8
1985-11-01,Canada,Food,2002=100,2.3,65.3
1985-11-01,Canada,Mortgage interest cost,2002=100,2.85,86.7
1985-11-01,Canada,Transportation,2002=100,2.176,60.6
1985-11-01,Canada,All-items excluding food,2002=100,2.284,63.5
1985-11-01,Canada,All-items excluding food and energy,2002=100,2.285,63.2
1985-11-01,Canada,Energy,2002=100,2.288,68.5
1985-11-01,Canada,Goods,2002=100,2.274,68.2
1985-11-01,Canada,Services,2002=100,2.282,59.2
1985-12-01,Canada,All-items,2002=100,2.2,64.1
1985-12-01,Canada,Food,2002=100,2.3,66.2
1985-12-01,Canada,Mortgage interest cost,2002=100,2.85,86.7
1985-12-01,Canada,Transportation,2002=100,2.176,61.1
1985-12-01,Canada,All-items excluding food,2002=100,2.284,63.6
1985-12-01,Canada,All-items excluding food and energy,2002=100,2.285,63.2
1985-12-01,Canada,Energy,2002=100,2.288,68.8
1985-12-01,Canada,Goods,2002=100,2.274,68.7
1985-12-01,Canada,Services,2002=100,2.282,59.4
1986-01-01,Canada,All-items,2002=100,2.2,64.4
1986-01-01,Canada,Food,2002=100,2.3,67.3
1986-01-01,Canada,Mortgage interest cost,2002=100,2.85,86.6
1986-01-01,Canada,Transportation,2002=100,2.176,61.4
1986-01-01,Canada,All-items excluding food,2002=100,2.284,63.8
1986-01-01,Canada,All-items excluding food and energy,2002=100,2.285,63.2
1986-01-01,Canada,Energy,2002=100,2.288,69.4
1986-01-01,Canada,Goods,2002=100,2.274,69.2
1986-01-01,Canada,Services,2002=100,2.282,59.4
1986-02-01,Canada,All-items,2002=100,2.2,64.7
1986-02-01,Canada,Food,2002=100,2.3,66.9
1986-02-01,Canada,Mortgage interest cost,2002=100,2.85,86.6
1986-02-01,Canada,Transportation,2002=100,2.176,61.6
1986-02-01,Canada,All-items excluding food,2002=100,2.284,64.2
1986-02-01,Canada,All-items excluding food and energy,2002=100,2.285,63.7
1986-02-01,Canada,Energy,2002=100,2.288,69.4
1986-02-01,Canada,Goods,2002=100,2.274,69.4
1986-02-01,Canada,Services,2002=100,2.282,59.8
1986-03-01,Canada,All-items,2002=100,2.2,64.9
1986-03-01,Canada,Food,2002=100,2.3,67
1986-03-01,Canada,Mortgage interest cost,2002=100,2.85,86.7
1986-03-01,Canada,Transportation,2002=100,2.176,61.3
1986-03-01,Canada,All-items excluding food,2002=100,2.284,64.4
1986-03-01,Canada,All-items excluding food and energy,2002=100,2.285,64.2
1986-03-01,Canada,Energy,2002=100,2.288,67.1
1986-03-01,Canada,Goods,2002=100,2.274,69.2
1986-03-01,Canada,Services,2002=100,2.282,60.2
1986-04-01,Canada,All-items,2002=100,2.2,64.9
1986-04-01,Canada,Food,2002=100,2.3,67.7
1986-04-01,Canada,Mortgage interest cost,2002=100,2.85,86.7
1986-04-01,Canada,Transportation,2002=100,2.176,60.2
1986-04-01,Canada,All-items excluding food,2002=100,2.284,64.3
1986-04-01,Canada,All-items excluding food and energy,2002=100,2.285,64.6
1986-04-01,Canada,Energy,2002=100,2.288,62.6
1986-04-01,Canada,Goods,2002=100,2.274,69.2
1986-04-01,Canada,Services,2002=100,2.282,60.4
1986-05-01,Canada,All-items,2002=100,2.2,65.3
1986-05-01,Canada,Food,2002=100,2.3,68.2
1986-05-01,Canada,Mortgage interest cost,2002=100,2.85,86.7
1986-05-01,Canada,Transportation,2002=100,2.176,60.2
1986-05-01,Canada,All-items excluding food,2002=100,2.284,64.5
1986-05-01,Canada,All-items excluding food and energy,2002=100,2.285,65.1
1986-05-01,Canada,Energy,2002=100,2.288,61
1986-05-01,Canada,Goods,2002=100,2.274,69.4
1986-05-01,Canada,Services,2002=100,2.282,60.9
1986-06-01,Canada,All-items,2002=100,2.2,65.4
1986-06-01,Canada,Food,2002=100,2.3,68.4
1986-06-01,Canada,Mortgage interest cost,2002=100,2.85,86.6
1986-06-01,Canada,Transportation,2002=100,2.176,60.5
1986-06-01,Canada,All-items excluding food,2002=100,2.284,64.6
1986-06-01,Canada,All-items excluding food and energy,2002=100,2.285,65.2
1986-06-01,Canada,Energy,2002=100,2.288,60.8
1986-06-01,Canada,Goods,2002=100,2.274,69.4
1986-06-01,Canada,Services,2002=100,2.282,61
1986-07-01,Canada,All-items,2002=100,2.2,65.9
1986-07-01,Canada,Food,2002=100,2.3,69.2
1986-07-01,Canada,Mortgage interest cost,2002=100,2.85,86.6
1986-07-01,Canada,Transportation,2002=100,2.176,61.6
1986-07-01,Canada,All-items excluding food,2002=100,2.284,65
1986-07-01,Canada,All-items excluding food and energy,2002=100,2.285,65.6
1986-07-01,Canada,Energy,2002=100,2.288,60.6
1986-07-01,Canada,Goods,2002=100,2.274,69.7
1986-07-01,Canada,Services,2002=100,2.282,61.6
1986-08-01,Canada,All-items,2002=100,2.2,66
1986-08-01,Canada,Food,2002=100,2.3,69.5
1986-08-01,Canada,Mortgage interest cost,2002=100,2.85,86.6
1986-08-01,Canada,Transportation,2002=100,2.176,61.5
1986-08-01,Canada,All-items excluding food,2002=100,2.284,65.2
1986-08-01,Canada,All-items excluding food and energy,2002=100,2.285,66
1986-08-01,Canada,Energy,2002=100,2.288,60.4
1986-08-01,Canada,Goods,2002=100,2.274,69.9
1986-08-01,Canada,Services,2002=100,2.282,61.9
1986-09-01,Canada,All-items,2002=100,2.2,66
1986-09-01,Canada,Food,2002=100,2.3,69.9
1986-09-01,Canada,Mortgage interest cost,2002=100,2.85,86.6
1986-09-01,Canada,Transportation,2002=100,2.176,60.5
1986-09-01,Canada,All-items excluding food,2002=100,2.284,65.1
1986-09-01,Canada,All-items excluding food and energy,2002=100,2.285,66
1986-09-01,Canada,Energy,2002=100,2.288,59.6
1986-09-01,Canada,Goods,2002=100,2.274,70
1986-09-01,Canada,Services,2002=100,2.282,61.8
1986-10-01,Canada,All-items,2002=100,2.2,66.4
1986-10-01,Canada,Food,2002=100,2.3,70.2
1986-10-01,Canada,Mortgage interest cost,2002=100,2.85,86.6
1986-10-01,Canada,Transportation,2002=100,2.176,60.5
1986-10-01,Canada,All-items excluding food,2002=100,2.284,65.6
1986-10-01,Canada,All-items excluding food and energy,2002=100,2.285,66.3
1986-10-01,Canada,Energy,2002=100,2.288,59.1
1986-10-01,Canada,Goods,2002=100,2.274,70.2
1986-10-01,Canada,Services,2002=100,2.282,62.4
1986-11-01,Canada,All-items,2002=100,2.2,66.7
1986-11-01,Canada,Food,2002=100,2.3,70.6
1986-11-01,Canada,Mortgage interest cost,2002=100,2.85,86.7
